2026-01-12 20:41:10,893 - INFO - 🚀 开始批量下载A股数据...
2026-01-12 20:41:10,893 - INFO - 数据路径: ./data
2026-01-12 20:41:10,893 - INFO - 时间范围: 20150101 至 20260112
2026-01-12 20:41:16,975 - INFO - 获取到 5470 只待下载股票
2026-01-12 20:41:34,022 - INFO - 获取到 1342 只待下载ETF
2026-01-12 20:41:43,411 - ERROR - ❌ 下载 000564.SZ (供销大集) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,485 - ERROR - ❌ 下载 000568.SZ (泸州老窖) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,493 - ERROR - ❌ 下载 000565.SZ (渝三峡Ａ) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,514 - ERROR - ❌ 下载 000566.SZ (海南海药) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,520 - ERROR - ❌ 下载 000567.SZ (海德股份) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,948 - ERROR - ❌ 下载 000571.SZ (新大洲A) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,958 - ERROR - ❌ 下载 000570.SZ (苏常柴Ａ) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:43,969 - ERROR - ❌ 下载 000572.SZ (海马汽车) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:44,066 - ERROR - ❌ 下载 000573.SZ (粤宏远Ａ) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:44,067 - ERROR - ❌ 下载 000576.SZ (甘化科工) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:44,072 - ERROR - ❌ 下载 000586.SZ (汇源通信) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:44,087 - ERROR - ❌ 下载 000581.SZ (威孚高科) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:44,087 - ERROR - ❌ 下载 000582.SZ (北部湾港) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:44,249 - ERROR - ❌ 下载 000591.SZ (太阳能) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:44,962 - ERROR - ❌ 下载 000590.SZ (古汉医药) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:44,967 - ERROR - ❌ 下载 000589.SZ (贵州轮胎) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:45,062 - ERROR - ❌ 下载 000595.SZ (*ST宝实) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:45,084 - ERROR - ❌ 下载 000592.SZ (平潭发展) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:45,097 - ERROR - ❌ 下载 000597.SZ (东北制药) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:45,097 - ERROR - ❌ 下载 000593.SZ (德龙汇能) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:45,111 - ERROR - ❌ 下载 000596.SZ (古井贡酒) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:45,112 - ERROR - ❌ 下载 000598.SZ (兴蓉环境) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:45,205 - ERROR - ❌ 下载 000600.SZ (建投能源) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
