date,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,symbol
2025-01-02,2136.92,2060.44,2137.65,2040.38,196587395,342439637001.25,4.54,-3.79,-81.16,3.62,399006.SZ
2025-01-03,2062.4,2015.97,2067.41,2015.96,206064912,324932847993.63,2.5,-2.16,-44.47,3.79,399006.SZ
2025-01-06,2018.25,2014.19,2033.27,2000.86,169375612,260608779679.82,1.61,-0.09,-1.78,3.12,399006.SZ
2025-01-07,1996.0,2028.36,2028.75,1988.42,168570529,277786422805.01,2.0,0.7,14.17,3.1,399006.SZ
2025-01-08,2011.75,2008.44,2029.02,1963.81,195527839,316548208016.32,3.21,-0.98,-19.92,3.6,399006.SZ
2025-01-09,1994.81,2010.66,2025.31,1994.7,174244808,287453523404.68,1.52,0.11,2.22,3.21,399006.SZ
2025-01-10,2006.55,1975.3,2024.43,1975.3,178384005,295340671109.33,2.44,-1.76,-35.36,3.28,399006.SZ
2025-01-13,1953.89,1982.46,1998.5,1953.82,152288463,245669166830.44,2.26,0.36,7.16,2.8,399006.SZ
2025-01-14,1989.39,2075.76,2076.96,1979.14,227021058,386165587102.57,4.93,4.71,93.3,4.18,399006.SZ
2025-01-15,2064.48,2037.93,2064.48,2032.57,195449289,329023933373.78,1.54,-1.82,-37.83,3.6,399006.SZ
2025-01-16,2051.09,2051.35,2084.23,2029.82,203899551,354789525123.57,2.67,0.66,13.42,3.75,399006.SZ
2025-01-17,2041.71,2067.27,2083.2,2041.58,170885961,310265773405.47,2.03,0.78,15.92,3.15,399006.SZ
2025-01-20,2090.14,2104.73,2118.74,2090.07,177274295,323976747068.17,1.39,1.81,37.46,3.26,399006.SZ
2025-01-21,2125.07,2112.39,2125.07,2090.32,182508851,331501649828.59,1.65,0.36,7.66,3.36,399006.SZ
2025-01-22,2103.83,2101.03,2110.9,2081.08,165662666,321487930518.86,1.41,-0.54,-11.36,3.05,399006.SZ
2025-01-23,2125.3,2093.31,2151.48,2093.31,210268257,387834330079.38,2.77,-0.37,-7.72,3.87,399006.SZ
2025-01-24,2084.13,2121.84,2131.55,2084.13,200051426,360783248474.43,2.27,1.36,28.53,3.68,399006.SZ
2025-01-27,2119.17,2063.82,2123.15,2063.82,177520122,324013509607.65,2.8,-2.73,-58.02,3.27,399006.SZ
2025-02-05,2082.99,2062.92,2083.01,2054.37,204368036,378666289294.99,1.39,-0.04,-0.9,3.76,399006.SZ
2025-02-06,2059.45,2120.75,2120.79,2056.18,248973902,464949308895.32,3.13,2.8,57.83,4.58,399006.SZ
2025-02-07,2127.14,2174.35,2200.1,2122.35,308397999,589808761151.7,3.67,2.53,53.6,5.68,399006.SZ
