symbol,symbol_type,total_return,annual_return,max_drawdown,sharpe_ratio,final_value,dca_buy_count,dca_sell_count,t_buy_count,t_sell_count,t_profit,data_points,start_date,end_date,data_start_date,data_end_date,annual_returns
159211.SZ,etf,0.012711800000000164,0.01648390393982968,-0.006270528868983859,1.1916775154440278,506355.9000000001,38,0,5,5,1283.7999999999993,0,,,2025-04-14,2026-01-21,"[{""year"": 2025, ""return"": 0.011738717387173966, ""profit"": 5869.300000000047}, {""year"": 2026, ""return"": -0.00039521782483719297, ""profit"": -200.20000000001164}]"
159212.SZ,etf,0.012969000000000232,0.01652265239147699,-0.006397297241913107,1.1812398413464165,506484.5000000001,38,0,4,4,1238.3000000000002,0,,,2025-04-09,2026-01-21,"[{""year"": 2025, ""return"": 0.01193920000000007, ""profit"": 5969.600000000035}, {""year"": 2026, ""return"": -0.0003286285825942153, ""profit"": -166.4999999999418}]"
159213.SZ,etf,0.013329199999999954,0.018335309103983954,-0.008789267158304455,1.2139318686255813,506664.6,35,0,6,5,753.3000000000006,0,,,2025-04-30,2026-01-21,"[{""year"": 2025, ""return"": 0.006815, ""profit"": 3407.5}, {""year"": 2026, ""return"": 0.005250005704155654, ""profit"": 2646.0999999999767}]"
159215.SZ,etf,0.016357800000000162,0.020703763424840593,-0.004688451462433432,1.7529868073438504,508178.9000000001,39,0,4,4,1417.9000000000005,0,,,2025-04-07,2026-01-21,"[{""year"": 2025, ""return"": 0.012690926909269137, ""profit"": 6345.400000000023}, {""year"": 2026, ""return"": 0.0018790447962228588, ""profit"": 953.0999999999767}]"
159216.SZ,etf,0.013219000000000349,0.016960906952255828,-0.005946624039045799,1.1947798317512648,506609.5000000002,38,0,6,6,1508.5000000000018,0,,,2025-04-11,2026-01-21,"[{""year"": 2025, ""return"": 0.012353000000000234, ""profit"": 6176.500000000116}, {""year"": 2026, ""return"": -0.00041829322552405877, ""profit"": -211.9999999999418}]"
159217.SZ,etf,0.0023239999999997672,0.0028959115120665846,-0.015554871892302605,0.167735675369166,501161.9999999999,39,0,8,8,669.9999999999991,0,,,2025-04-03,2026-01-21,"[{""year"": 2025, ""return"": -0.0009904000000003725, ""profit"": -495.20000000018626}, {""year"": 2026, ""return"": 0.00038225803714989217, ""profit"": 191.5}]"
159218.SZ,etf,0.03329579999999993,0.05021616427596087,-0.016381273605327096,1.436304899718582,516647.89999999997,33,0,4,4,790.4999999999995,0,,,2025-05-22,2026-01-21,"[{""year"": 2025, ""return"": 0.025426399999999908, ""profit"": 12713.199999999953}, {""year"": 2026, ""return"": 0.005563563592397975, ""profit"": 2858.5}]"
159219.SZ,etf,0.009576800000000163,0.013845567495214484,-0.00519765097903227,1.118863325202651,504788.4000000001,34,0,4,4,1188.5,0,,,2025-05-13,2026-01-21,"[{""year"": 2025, ""return"": 0.008769800000000163, ""profit"": 4384.9000000000815}, {""year"": 2026, ""return"": -0.00021489535784434402, ""profit"": -108.5}]"
159220.SZ,etf,0.004647200000000186,0.006684838204440213,-0.004963253085646014,0.8685329023069436,502323.6000000001,35,0,6,6,632.9999999999991,0,,,2025-05-12,2026-01-21,"[{""year"": 2025, ""return"": 0.0034262342623428096, ""profit"": 1713.1000000000931}, {""year"": 2026, ""return"": 0.0012367872552512794, ""profit"": 620.5000000000582}]"
159221.SZ,etf,0.01132819999999972,0.016383948505006796,-0.004232957881473891,1.8080925244009591,505664.09999999986,34,0,5,4,696.4000000000005,0,,,2025-05-13,2026-01-21,"[{""year"": 2025, ""return"": 0.00754119999999972, ""profit"": 3770.5999999998603}, {""year"": 2026, ""return"": 0.0033294569036725428, ""profit"": 1678.0}]"
159222.SZ,etf,0.014240800000000395,0.018671194236767885,-0.004030084640298569,1.9117948791745536,507120.4000000002,37,0,5,4,537.7999999999984,0,,,2025-04-17,2026-01-21,"[{""year"": 2025, ""return"": 0.00912980000000028, ""profit"": 4564.90000000014}, {""year"": 2026, ""return"": 0.004352149605415119, ""profit"": 2197.500000000058}]"
159223.SZ,etf,0.006825599999999977,0.012367336075732815,-0.00254830506043925,1.7942754024456793,503412.8,28,0,3,3,339.3000000000002,0,,,2025-07-03,2026-01-21,"[{""year"": 2025, ""return"": 0.0037128000000000464, ""profit"": 1856.4000000000233}, {""year"": 2026, ""return"": 0.0028133438114105232, ""profit"": 1412.2999999999884}]"
159225.SZ,etf,0.013470000000000234,0.017658513765124395,-0.0039674145031195025,1.802443375661634,506735.0000000001,37,0,6,5,486.2000000000007,0,,,2025-04-17,2026-01-21,"[{""year"": 2025, ""return"": 0.00861980000000028, ""profit"": 4309.90000000014}, {""year"": 2026, ""return"": 0.004358659116229343, ""profit"": 2199.0999999999767}]"
159226.SZ,etf,0.010149800000000628,0.015674326211791545,-0.0031495596756217327,1.749369931090386,505074.9000000003,32,0,5,5,1082.9000000000015,0,,,2025-05-29,2026-01-21,"[{""year"": 2025, ""return"": 0.006647000000000466, ""profit"": 3323.500000000233}, {""year"": 2026, ""return"": 0.002275721476933011, ""profit"": 1146.8000000000466}]"
159227.SZ,etf,0.013993400000000373,0.02049595402091331,-0.010100528829837498,0.944268400042222,506996.7000000002,34,0,6,5,-42.59999999999991,0,,,2025-05-16,2026-01-21,"[{""year"": 2025, ""return"": 0.009746600000000325, ""profit"": 4873.300000000163}, {""year"": 2026, ""return"": 0.003417976577657436, ""profit"": 1727.0}]"
